4.557	4.604	4.687	4.799	4.929	5.017	5.067	5.187	5.705	6.275	6.537	6.549	6.417	6.097	6.112	6.212	6.332	6.417	6.452	6.552	6.897	7.287	7.532	7.527	7.317	6.767	6.722	6.797	6.892	6.967	6.992	7.077	7.337	7.632	7.857	7.847	7.617	6.947	6.882	6.952	7.042	7.117	7.142	7.222	7.462	7.752	7.977	7.967
4.513	4.578	4.671	4.804	4.944	5.032	5.08	5.198	5.72	6.3	6.558	6.573	6.448	6.148	6.168	6.268	6.388	6.473	6.508	6.608	6.953	7.343	7.588	7.583	7.373	6.833	6.788	6.863	6.958	7.033	7.058	7.143	7.403	7.698	7.923	7.913	7.683	7.023	6.958	7.028	7.118	7.193	7.218	7.298	7.538	7.828	8.053	8.043
4.597	4.647	4.736	4.873	5.015	5.101	5.149	5.267	5.792	6.372	6.637	6.652	6.527	6.227	6.247	6.347	6.467	6.552	6.587	6.687	7.032	7.422	7.662	7.662	7.457	6.927	6.877	6.952	7.047	7.122	7.147	7.232	7.492	7.787	8.012	8.007	7.782	7.107	7.032	7.097	7.187	7.262	7.287	7.367	7.607	7.897	8.122	8.112
4.642	4.687	4.772	4.904	5.037	5.125	5.172	5.293	5.793	6.348	6.608	6.623	6.503	6.198	6.218	6.318	6.438	6.523	6.558	6.658	7.003	7.393	7.633	7.633	7.428	6.908	6.858	6.933	7.028	7.103	7.128	7.213	7.473	7.768	7.993	7.988	7.763	7.088	7.023	7.088	7.178	7.253	7.278	7.358	7.598	7.888	8.113	8.108
4.774	4.814	4.901	5.03	5.161	5.243	5.281	5.394	5.872	6.399	6.659	6.674	6.549	6.229	6.249	6.344	6.464	6.549	6.584	6.684	7.019	7.404	7.639	7.639	7.434	6.914	6.864	6.939	7.034	7.109	7.134	7.219	7.479	7.774	7.999	7.994	7.759	7.079	7.014	7.079	7.169	7.244	7.269	7.349	7.584	7.874	8.099	8.094
4.807	4.856	4.946	5.081	5.216	5.299	5.334	5.444	5.937	6.462	6.719	6.724	6.599	6.274	6.294	6.384	6.504	6.589	6.624	6.724	7.044	7.419	7.644	7.644	7.439	6.919	6.869	6.944	7.039	7.114	7.139	7.224	7.484	7.779	8.004	7.999	7.769	7.089	7.024	7.089	7.179	7.254	7.279	7.359	7.594	7.884	8.109	8.104
4.543	4.603	4.699	4.84	4.983	5.076	5.11	5.22	5.75	6.315	6.575	6.58	6.455	6.145	6.165	6.255	6.375	6.46	6.495	6.595	6.92	7.3	7.525	7.525	7.32	6.83	6.78	6.855	6.95	7.025	7.05	7.135	7.38	7.675	7.9	7.895	7.665	6.995	6.93	6.995	7.085	7.16	7.185	7.265	7.5	7.79	8.015	8.01
4.532	4.578	4.674	4.811	4.953	5.043	5.08	5.19	5.73	6.295	6.552	6.557	6.432	6.117	6.137	6.227	6.347	6.432	6.467	6.567	6.887	7.267	7.487	7.487	7.282	6.792	6.742	6.817	6.912	6.987	7.012	7.097	7.342	7.637	7.862	7.857	7.627	6.957	6.892	6.957	7.047	7.122	7.147	7.227	7.462	7.752	7.977	7.972
4.485	4.504	4.599	4.737	4.877	4.969	5.007	5.109	5.659	6.234	6.494	6.504	6.379	6.069	6.089	6.179	6.299	6.384	6.419	6.519	6.839	7.219	7.444	7.444	7.244	6.759	6.709	6.784	6.879	6.954	6.979	7.064	7.309	7.599	7.824	7.819	7.589	6.919	6.854	6.919	7.009	7.084	7.109	7.189	7.424	7.714	7.939	7.934
4.452	4.459	4.55	4.685	4.824	4.914	4.952	5.052	5.599	6.169	6.427	6.437	6.312	5.997	6.017	6.107	6.227	6.312	6.347	6.447	6.772	7.152	7.377	7.377	7.182	6.702	6.664	6.739	6.834	6.909	6.934	7.019	7.264	7.554	7.779	7.774	7.544	6.879	6.819	6.884	6.974	7.049	7.074	7.154	7.389	7.679	7.904	7.899
4.203	4.217	4.307	4.44	4.577	4.667	4.707	4.807	5.362	5.937	6.202	6.212	6.087	5.782	5.807	5.897	6.017	6.102	6.137	6.237	6.567	6.947	7.177	7.177	6.982	6.502	6.467	6.542	6.637	6.712	6.737	6.822	7.072	7.362	7.587	7.587	7.357	6.702	6.642	6.707	6.797	6.872	6.897	6.977	7.212	7.502	7.727	7.727
4.214	4.238	4.327	4.454	4.585	4.672	4.709	4.809	5.317	5.862	6.124	6.132	6.007	5.702	5.727	5.817	5.935	6.02	6.055	6.152	6.477	6.857	7.082	7.082	6.887	6.377	6.342	6.417	6.512	6.587	6.612	6.697	6.947	7.232	7.452	7.452	7.222	6.557	6.497	6.562	6.652	6.727	6.752	6.832	7.067	7.357	7.582	7.582
4.078	4.111	4.198	4.328	4.466	4.551	4.591	4.691	5.206	5.761	6.026	6.034	5.909	5.619	5.644	5.734	5.852	5.937	5.972	6.069	6.394	6.774	6.994	6.994	6.799	6.289	6.259	6.334	6.429	6.504	6.529	6.614	6.864	7.149	7.369	7.369	7.139	6.469	6.409	6.474	6.564	6.639	6.664	6.744	6.979	7.269	7.494	7.494
4.006	4.036	4.125	4.252	4.391	4.478	4.519	4.623	5.148	5.723	5.993	6.001	5.881	5.601	5.629	5.719	5.837	5.921	5.955	6.051	6.381	6.761	6.986	6.986	6.786	6.286	6.256	6.331	6.426	6.501	6.526	6.611	6.861	7.146	7.366	7.366	7.126	6.471	6.411	6.476	6.566	6.641	6.666	6.746	6.981	7.271	7.496	7.496
4.097	4.098	4.185	4.312	4.451	4.533	4.574	4.678	5.198	5.763	6.038	6.046	5.926	5.646	5.674	5.764	5.882	5.965	5.998	6.094	6.419	6.799	7.024	7.024	6.824	6.324	6.294	6.369	6.464	6.539	6.564	6.649	6.899	7.184	7.404	7.404	7.164	6.514	6.454	6.519	6.609	6.684	6.709	6.789	7.024	7.314	7.539	7.539
4.236	4.194	4.281	4.412	4.551	4.628	4.668	4.771	5.281	5.846	6.116	6.124	6.004	5.714	5.742	5.832	5.95	6.032	6.064	6.159	6.481	6.861	7.086	7.086	6.886	6.381	6.351	6.426	6.521	6.596	6.621	6.706	6.956	7.241	7.461	7.461	7.221	6.571	6.511	6.576	6.666	6.741	6.766	6.846	7.081	7.371	7.596	7.596
4.056	4.029	4.118	4.252	4.396	4.48	4.527	4.634	5.159	5.729	5.999	6.009	5.899	5.614	5.639	5.729	5.847	5.929	5.959	6.054	6.376	6.756	6.981	6.981	6.786	6.281	6.251	6.326	6.421	6.496	6.521	6.606	6.856	7.146	7.368	7.368	7.128	6.483	6.428	6.493	6.583	6.658	6.683	6.763	6.998	7.288	7.518	7.518
4.056	4.077	4.167	4.305	4.447	4.528	4.571	4.674	5.204	5.776	6.044	6.056	5.944	5.654	5.684	5.774	5.889	5.969	5.999	6.094	6.416	6.796	7.021	7.021	6.826	6.306	6.276	6.351	6.446	6.521	6.546	6.631	6.881	7.171	7.391	7.391	7.156	6.506	6.451	6.516	6.606	6.681	6.706	6.786	7.021	7.311	7.541	7.541
4.056	4.198	4.278	4.408	4.545	4.626	4.665	4.765	5.28	5.845	6.115	6.125	6.005	5.71	5.74	5.83	5.942	6.02	6.05	6.145	6.465	6.845	7.065	7.065	6.87	6.325	6.295	6.37	6.465	6.535	6.56	6.645	6.895	7.18	7.4	7.4	7.165	6.505	6.45	6.515	6.605	6.675	6.7	6.78	7.015	7.305	7.53	7.53
