4.249	4.373	4.472	4.629	5.254	5.939	6.239	6.277	6.207	6.057	6.099	6.204	6.324	6.414	6.464	6.557	6.897	7.292	7.507	7.502	7.322	6.837	6.822	6.907	7.012	7.087	7.117	7.202	7.437	7.722	7.922	7.917	7.677	7.057	7.012	7.092	7.187	7.257	7.287	7.367	7.597	7.872	8.067	8.062	7.822	7.107	7.052	7.132
4.12	4.258	4.369	4.53	5.16	5.851	6.164	6.201	6.139	5.989	6.031	6.134	6.254	6.344	6.394	6.489	6.824	7.219	7.434	7.429	7.254	6.769	6.754	6.839	6.944	7.019	7.049	7.134	7.369	7.654	7.854	7.849	7.609	6.989	6.944	7.024	7.119	7.189	7.219	7.294	7.524	7.799	7.994	7.989	7.749	7.034	6.979	7.059
3.766	3.916	4.04	4.218	4.882	5.595	5.915	5.957	5.902	5.772	5.822	5.932	6.052	6.142	6.192	6.292	6.635	7.04	7.26	7.26	7.085	6.625	6.615	6.705	6.81	6.885	6.915	7	7.235	7.525	7.73	7.725	7.495	6.9	6.86	6.94	7.035	7.105	7.135	7.215	7.445	7.73	7.925	7.92	7.68	6.975	6.925	7.01
3.81	3.97	4.101	4.296	4.993	5.738	6.068	6.11	6.06	5.93	5.978	6.087	6.205	6.298	6.35	6.45	6.795	7.2	7.42	7.42	7.25	6.77	6.755	6.845	6.95	7.025	7.055	7.14	7.38	7.675	7.88	7.875	7.645	7.06	7.02	7.1	7.195	7.265	7.295	7.375	7.605	7.89	8.085	8.08	7.84	7.145	7.095	7.18
3.868	4.042	4.185	4.395	5.118	5.864	6.197	6.233	6.177	6.042	6.09	6.199	6.317	6.41	6.462	6.562	6.907	7.312	7.532	7.532	7.362	6.862	6.847	6.937	7.042	7.117	7.147	7.232	7.472	7.767	7.972	7.967	7.737	7.142	7.102	7.182	7.277	7.347	7.377	7.457	7.687	7.972	8.172	8.167	7.927	7.237	7.192	7.277
3.731	3.93	4.1	4.33	5.051	5.787	6.124	6.162	6.106	5.976	6.024	6.134	6.254	6.349	6.401	6.504	6.854	7.259	7.484	7.484	7.314	6.834	6.819	6.909	7.014	7.089	7.119	7.204	7.444	7.739	7.944	7.939	7.709	7.129	7.089	7.169	7.264	7.334	7.364	7.444	7.674	7.959	8.164	8.159	7.919	7.239	7.194	7.279
3.731	3.933	4.105	4.347	5.07	5.802	6.125	6.16	6.103	5.968	6.015	6.125	6.245	6.338	6.39	6.493	6.843	7.253	7.478	7.478	7.308	6.828	6.813	6.903	7.008	7.083	7.113	7.198	7.438	7.733	7.938	7.933	7.708	7.128	7.088	7.168	7.263	7.333	7.363	7.443	7.678	7.968	8.173	8.168	7.933	7.253	7.208	7.293
3.708	3.898	4.071	4.312	5.012	5.727	6.049	6.082	6.024	5.889	5.937	6.047	6.167	6.26	6.313	6.419	6.769	7.179	7.404	7.404	7.234	6.759	6.744	6.834	6.939	7.014	7.044	7.124	7.364	7.659	7.864	7.859	7.634	7.059	7.019	7.099	7.194	7.264	7.294	7.374	7.609	7.899	8.104	8.099	7.869	7.189	7.144	7.229
3.933	4.147	4.32	4.563	5.24	5.924	6.231	6.259	6.194	6.049	6.096	6.203	6.319	6.41	6.462	6.567	6.907	7.312	7.529	7.529	7.359	6.864	6.844	6.934	7.039	7.114	7.144	7.224	7.464	7.759	7.964	7.959	7.734	7.144	7.099	7.179	7.274	7.344	7.374	7.454	7.689	7.979	8.184	8.179	7.949	7.264	7.219	7.304
3.857	4.071	4.243	4.493	5.169	5.86	6.165	6.196	6.138	5.998	6.045	6.152	6.27	6.361	6.416	6.521	6.861	7.261	7.478	7.478	7.308	6.813	6.793	6.883	6.988	7.063	7.093	7.173	7.413	7.708	7.913	7.908	7.683	7.088	7.043	7.123	7.218	7.283	7.313	7.393	7.628	7.913	8.118	8.11	7.88	7.195	7.15	7.235
4.182	4.382	4.533	4.768	5.39	6.047	6.357	6.384	6.312	6.162	6.207	6.307	6.419	6.507	6.56	6.667	6.997	7.387	7.597	7.597	7.427	6.907	6.887	6.977	7.077	7.152	7.182	7.262	7.502	7.797	8.002	7.997	7.767	7.137	7.092	7.172	7.267	7.332	7.362	7.442	7.677	7.957	8.162	8.157	7.927	7.212	7.167	7.252
4.129	4.312	4.448	4.67	5.285	5.943	6.25	6.275	6.208	6.073	6.118	6.218	6.33	6.418	6.471	6.578	6.923	7.313	7.523	7.523	7.353	6.858	6.838	6.928	7.033	7.108	7.138	7.218	7.458	7.753	7.958	7.953	7.723	7.093	7.048	7.128	7.223	7.288	7.318	7.398	7.633	7.923	8.128	8.123	7.893	7.193	7.148	7.233
4.253	4.424	4.55	4.753	5.382	6.027	6.325	6.347	6.275	6.14	6.18	6.278	6.388	6.474	6.527	6.635	6.975	7.365	7.57	7.57	7.395	6.885	6.86	6.95	7.055	7.13	7.16	7.24	7.48	7.775	7.98	7.975	7.745	7.1	7.055	7.135	7.23	7.295	7.325	7.4	7.63	7.92	8.12	8.115	7.88	7.18	7.135	7.22
4.093	4.278	4.414	4.614	5.266	5.944	6.242	6.267	6.197	6.062	6.102	6.199	6.307	6.394	6.447	6.557	6.897	7.287	7.497	7.497	7.327	6.807	6.782	6.872	6.977	7.052	7.082	7.162	7.402	7.697	7.902	7.897	7.667	7.017	6.972	7.052	7.147	7.212	7.242	7.322	7.552	7.842	8.042	8.037	7.807	7.107	7.062	7.147
4.032	4.193	4.317	4.514	5.151	5.812	6.109	6.136	6.069	5.939	5.979	6.074	6.184	6.271	6.326	6.436	6.776	7.166	7.378	7.378	7.208	6.698	6.673	6.763	6.868	6.943	6.973	7.053	7.293	7.583	7.788	7.783	7.553	6.898	6.853	6.933	7.023	7.088	7.118	7.198	7.428	7.718	7.918	7.913	7.683	6.983	6.938	7.023
3.933	4.071	4.187	4.381	5.016	5.666	5.963	5.993	5.928	5.803	5.846	5.941	6.051	6.138	6.198	6.311	6.651	7.041	7.253	7.253	7.083	6.568	6.543	6.633	6.738	6.813	6.843	6.923	7.163	7.453	7.658	7.653	7.428	6.763	6.718	6.798	6.888	6.953	6.983	7.063	7.293	7.583	7.778	7.773	7.543	6.843	6.798	6.883
3.879	4.007	4.129	4.324	4.946	5.598	5.903	5.938	5.868	5.743	5.788	5.883	5.996	6.083	6.143	6.258	6.598	6.983	7.198	7.193	7.023	6.508	6.478	6.568	6.673	6.748	6.778	6.858	7.098	7.388	7.593	7.588	7.358	6.703	6.658	6.738	6.828	6.893	6.923	7.003	7.233	7.523	7.723	7.718	7.488	6.803	6.758	6.843
