3.546	3.679	3.795	3.87	4.003	4.643	5.333	5.629	5.675	5.631	5.478	5.525	5.637	5.774	5.859	5.906	5.996	6.346	6.741	6.961	6.966	6.806	6.356	6.351	6.441	6.546	6.621	6.651	6.736	6.991	7.276	7.481	7.486	7.266	6.666	6.626	6.706	6.796	6.866	6.891	6.971	7.201	7.486	7.691	7.69	7.46	6.76	6.72
3.725	3.86	3.976	4.049	4.184	4.824	5.509	5.799	5.844	5.796	5.641	5.688	5.798	5.933	6.018	6.063	6.153	6.498	6.883	7.098	7.103	6.943	6.483	6.475	6.565	6.67	6.745	6.775	6.86	7.115	7.395	7.6	7.605	7.385	6.77	6.73	6.81	6.9	6.97	6.995	7.075	7.305	7.59	7.795	7.794	7.564	6.854	6.814
3.615	3.753	3.876	3.952	4.094	4.756	5.466	5.764	5.812	5.767	5.612	5.662	5.772	5.907	5.992	6.037	6.127	6.472	6.857	7.072	7.077	6.917	6.457	6.449	6.539	6.644	6.719	6.749	6.834	7.089	7.369	7.574	7.579	7.359	6.744	6.704	6.784	6.874	6.944	6.969	7.049	7.279	7.564	7.769	7.768	7.538	6.828	6.788
3.887	4.012	4.131	4.204	4.341	4.991	5.691	5.986	6.027	5.976	5.801	5.849	5.957	6.09	6.175	6.218	6.306	6.646	7.026	7.231	7.232	7.067	6.572	6.562	6.647	6.752	6.827	6.857	6.942	7.197	7.477	7.677	7.679	7.454	6.834	6.794	6.874	6.964	7.034	7.059	7.139	7.369	7.654	7.859	7.858	7.623	6.903	6.863
4.081	4.197	4.31	4.38	4.514	5.194	5.899	6.199	6.236	6.181	6.001	6.049	6.149	6.279	6.364	6.404	6.491	6.826	7.206	7.406	7.406	7.236	6.721	6.711	6.796	6.896	6.971	7.001	7.086	7.331	7.606	7.806	7.806	7.571	6.931	6.886	6.961	7.051	7.121	7.146	7.226	7.456	7.736	7.936	7.931	7.691	6.961	6.916
4.311	4.416	4.521	4.59	4.717	5.377	6.067	6.365	6.393	6.338	6.133	6.178	6.278	6.403	6.486	6.526	6.613	6.943	7.318	7.518	7.518	7.348	6.808	6.793	6.878	6.978	7.053	7.083	7.168	7.408	7.678	7.873	7.868	7.633	6.968	6.918	6.993	7.078	7.148	7.173	7.253	7.483	7.758	7.958	7.953	7.713	6.953	6.903
4.302	4.412	4.517	4.581	4.703	5.345	6.018	6.313	6.337	6.281	6.096	6.136	6.236	6.356	6.439	6.479	6.566	6.891	7.266	7.466	7.466	7.291	6.761	6.746	6.826	6.926	7.001	7.031	7.116	7.356	7.626	7.821	7.816	7.576	6.916	6.866	6.941	7.026	7.096	7.121	7.201	7.431	7.706	7.906	7.901	7.661	6.901	6.851
4.449	4.563	4.662	4.728	4.845	5.442	6.06	6.345	6.369	6.313	6.123	6.16	6.26	6.38	6.463	6.503	6.588	6.903	7.278	7.478	7.473	7.298	6.768	6.753	6.833	6.933	7.008	7.038	7.123	7.363	7.633	7.828	7.823	7.583	6.923	6.873	6.948	7.033	7.103	7.128	7.208	7.438	7.713	7.908	7.903	7.663	6.903	6.853
4.333	4.46	4.56	4.639	4.758	5.343	5.953	6.248	6.266	6.204	6.009	6.041	6.141	6.261	6.344	6.384	6.469	6.779	7.154	7.354	7.349	7.174	6.644	6.629	6.709	6.809	6.884	6.914	6.999	7.239	7.509	7.704	7.699	7.459	6.799	6.754	6.829	6.914	6.984	7.009	7.089	7.319	7.594	7.789	7.784	7.544	6.804	6.759
4.292	4.414	4.524	4.613	4.739	5.334	5.974	6.269	6.291	6.226	6.036	6.073	6.173	6.293	6.378	6.418	6.503	6.818	7.198	7.403	7.398	7.223	6.698	6.683	6.763	6.863	6.938	6.968	7.053	7.293	7.563	7.758	7.753	7.513	6.868	6.823	6.898	6.983	7.053	7.078	7.158	7.388	7.663	7.858	7.853	7.613	6.873	6.828
