4.152	4.228	4.36	4.495	4.577	4.616	4.718	5.233	5.788	6.058	6.066	5.943	5.643	5.668	5.758	5.87	5.945	5.975	6.068	6.383	6.763	6.983	6.983	6.788	6.218	6.188	6.263	6.358	6.428	6.453	6.538	6.788	7.073	7.293	7.293	7.058	6.398	6.343	6.408	6.498	6.568	6.593	6.673	6.908	7.198	7.423	7.423	7.188
4.282	4.35	4.474	4.603	4.682	4.72	4.82	5.3	5.825	6.09	6.095	5.97	5.67	5.695	5.785	5.897	5.972	6.002	6.095	6.41	6.785	7.005	7.005	6.81	6.24	6.21	6.285	6.38	6.45	6.475	6.56	6.805	7.09	7.31	7.31	7.075	6.415	6.36	6.425	6.515	6.585	6.61	6.69	6.925	7.215	7.44	7.44	7.205
4.34	4.419	4.542	4.674	4.754	4.792	4.892	5.357	5.857	6.129	6.134	6.009	5.697	5.722	5.811	5.922	5.996	6.025	6.117	6.432	6.807	7.027	7.027	6.832	6.242	6.212	6.287	6.382	6.452	6.477	6.562	6.807	7.092	7.312	7.312	7.077	6.402	6.347	6.412	6.502	6.572	6.597	6.677	6.912	7.202	7.427	7.427	7.192
4.088	4.176	4.306	4.449	4.533	4.572	4.677	5.152	5.652	5.922	5.937	5.812	5.517	5.545	5.635	5.747	5.821	5.85	5.942	6.257	6.632	6.852	6.852	6.657	6.087	6.057	6.132	6.227	6.297	6.327	6.412	6.657	6.942	7.162	7.162	6.927	6.257	6.202	6.267	6.362	6.432	6.457	6.537	6.772	7.062	7.287	7.287	7.052
3.945	4.017	4.142	4.291	4.377	4.42	4.525	5.025	5.545	5.82	5.835	5.713	5.438	5.466	5.556	5.671	5.745	5.774	5.868	6.188	6.563	6.785	6.785	6.59	6.025	5.995	6.07	6.165	6.235	6.265	6.35	6.595	6.88	7.1	7.1	6.865	6.2	6.145	6.21	6.305	6.375	6.4	6.48	6.715	7.005	7.23	7.23	6.99
3.865	3.928	4.047	4.197	4.287	4.333	4.44	4.96	5.493	5.77	5.785	5.667	5.402	5.43	5.52	5.635	5.709	5.738	5.832	6.152	6.527	6.755	6.755	6.56	6.02	5.99	6.065	6.16	6.23	6.26	6.345	6.59	6.87	7.09	7.09	6.855	6.2	6.145	6.21	6.305	6.375	6.4	6.48	6.715	7.005	7.225	7.225	6.985
3.84	3.907	4.027	4.176	4.27	4.318	4.423	4.933	5.461	5.736	5.751	5.636	5.361	5.389	5.479	5.594	5.668	5.697	5.791	6.111	6.486	6.716	6.716	6.526	6.006	5.981	6.056	6.146	6.216	6.246	6.331	6.576	6.856	7.076	7.076	6.841	6.186	6.131	6.196	6.291	6.361	6.386	6.466	6.701	6.991	7.211	7.211	6.971
3.798	3.859	3.976	4.123	4.216	4.265	4.37	4.875	5.41	5.685	5.697	5.582	5.292	5.32	5.41	5.525	5.597	5.625	5.717	6.04	6.415	6.647	6.647	6.457	5.947	5.922	5.997	6.087	6.157	6.187	6.272	6.522	6.802	7.022	7.022	6.787	6.152	6.097	6.162	6.257	6.327	6.352	6.432	6.667	6.957	7.177	7.177	6.937
3.995	4.055	4.181	4.319	4.415	4.464	4.568	5.053	5.578	5.853	5.856	5.736	5.429	5.452	5.542	5.657	5.724	5.752	5.844	6.162	6.532	6.762	6.762	6.567	6.047	6.022	6.097	6.187	6.257	6.287	6.372	6.622	6.902	7.122	7.122	6.887	6.247	6.192	6.257	6.352	6.422	6.447	6.527	6.762	7.052	7.272	7.272	7.032
3.932	4.006	4.126	4.258	4.35	4.4	4.511	4.991	5.521	5.801	5.806	5.681	5.386	5.411	5.501	5.616	5.681	5.708	5.798	6.118	6.488	6.718	6.718	6.523	6.003	5.978	6.053	6.143	6.213	6.243	6.328	6.578	6.858	7.078	7.078	6.843	6.208	6.153	6.218	6.313	6.383	6.408	6.488	6.723	7.013	7.233	7.233	6.993
3.85	3.922	4.042	4.175	4.267	4.323	4.438	4.928	5.466	5.743	5.75	5.63	5.345	5.37	5.46	5.575	5.64	5.667	5.757	6.077	6.447	6.677	6.677	6.482	5.962	5.937	6.012	6.102	6.172	6.202	6.287	6.542	6.822	7.042	7.042	6.807	6.172	6.117	6.182	6.277	6.347	6.372	6.452	6.687	6.977	7.197	7.197	6.957
3.812	3.882	3.998	4.133	4.223	4.28	4.397	4.884	5.417	5.69	5.695	5.577	5.297	5.322	5.412	5.527	5.592	5.619	5.709	6.029	6.399	6.629	6.629	6.434	5.904	5.879	5.954	6.044	6.114	6.144	6.229	6.484	6.764	6.984	6.984	6.749	6.114	6.059	6.124	6.219	6.289	6.314	6.394	6.629	6.919	7.139	7.139	6.899
3.684	3.759	3.881	4.023	4.113	4.17	4.286	4.791	5.328	5.601	5.609	5.491	5.226	5.253	5.343	5.458	5.523	5.553	5.643	5.963	6.333	6.568	6.568	6.373	5.853	5.833	5.908	5.998	6.068	6.098	6.183	6.438	6.718	6.938	6.938	6.703	6.078	6.023	6.093	6.188	6.258	6.283	6.363	6.598	6.888	7.108	7.108	6.868
